sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,species,species_encoded,sepal length (cm)_scaled,sepal width (cm)_scaled,petal length (cm)_scaled,petal width (cm)_scaled
5.1,3.5,1.4,0.2,0,setosa,0,-0.9739431467796088,1.0190043519716065,-1.3402265266227635,-1.3154442950077407
4.9,3.0,1.4,0.2,0,setosa,0,-1.2234944157053433,-0.1319794793216258,-1.3402265266227635,-1.3154442950077407
4.7,3.2,1.3,0.2,0,setosa,0,-1.473045684631079,0.3284140531956675,-1.3970639535363667,-1.3154442950077407
4.6,3.1,1.5,0.2,0,setosa,0,-1.5978213190939474,0.09821728693702086,-1.2833890997091604,-1.3154442950077407
5.0,3.6,1.4,0.2,0,setosa,0,-1.0987187812424761,1.2492011182302531,-1.3402265266227635,-1.3154442950077407
5.8805555555555555,3.9,1.7,0.4,0,setosa,0,-2.2164605166862064e-15,1.939791417006192,-1.169714245881954,-1.052179926427139
5.8805555555555555,3.4,1.4,0.3,0,setosa,0,-2.2164605166862064e-15,0.7888075857129598,-1.3402265266227635,-1.18381211071744
5.8805555555555555,3.4,1.5,0.2,0,setosa,0,-2.2164605166862064e-15,0.7888075857129598,-1.2833890997091604,-1.3154442950077407
5.8805555555555555,2.9,1.4,0.2,0,setosa,0,-2.2164605166862064e-15,-0.36217624558027245,-1.3402265266227635,-1.3154442950077407
5.8805555555555555,3.1,1.5,0.1,0,setosa,0,-2.2164605166862064e-15,0.09821728693702086,-1.2833890997091604,-1.4470764792980415
5.8805555555555555,3.7,1.5,0.2,0,setosa,0,-2.2164605166862064e-15,1.4793978844888998,-1.2833890997091604,-1.3154442950077407
4.8,3.4,1.6,0.2,0,setosa,0,-1.3482700501682117,0.7888075857129598,-1.2265516727955572,-1.3154442950077407
4.8,3.0,1.4,0.1,0,setosa,0,-1.3482700501682117,-0.1319794793216258,-1.3402265266227635,-1.4470764792980415
4.3,3.0,1.1,0.1,0,setosa,0,-1.9721482224825502,-0.1319794793216258,-1.5107388073635728,-1.4470764792980415
5.8,4.0,1.2,0.2,0,setosa,0,-0.10051370553953473,2.169988183264839,-1.4539013804499696,-1.3154442950077407
5.7,4.4,1.5,0.4,0,setosa,0,-0.22528934000240197,3.0907752482994253,-1.2833890997091604,-1.052179926427139
5.4,3.9,1.3,0.4,0,setosa,0,-0.5996162433910048,1.939791417006192,-1.3970639535363667,-1.052179926427139
5.1,3.5,1.4,0.3,0,setosa,0,-0.9739431467796088,1.0190043519716065,-1.3402265266227635,-1.18381211071744
5.7,3.8,1.7,0.3,0,setosa,0,-0.22528934000240197,1.7095946507475455,-1.169714245881954,-1.18381211071744
5.1,3.8,1.5,0.3,0,setosa,0,-0.9739431467796088,1.7095946507475455,-1.2833890997091604,-1.18381211071744
5.4,3.4,1.7,0.2,0,setosa,0,-0.5996162433910048,0.7888075857129598,-1.169714245881954,-1.3154442950077407
5.1,3.7,1.5,0.4,0,setosa,0,-0.9739431467796088,1.4793978844888998,-1.2833890997091604,-1.052179926427139
4.6,3.6,1.0,0.2,0,setosa,0,-1.5978213190939474,1.2492011182302531,-1.567576234277176,-1.3154442950077407
5.1,3.3,1.7,0.5,0,setosa,0,-0.9739431467796088,0.5586108194543131,-1.169714245881954,-0.9205477421368382
4.8,3.4,1.9,0.2,0,setosa,0,-1.3482700501682117,0.7888075857129598,-1.056039392054748,-1.3154442950077407
5.0,3.0,1.6,0.2,0,setosa,0,-1.0987187812424761,-0.1319794793216258,-1.2265516727955572,-1.3154442950077407
5.0,3.4,1.6,0.4,0,setosa,0,-1.0987187812424761,0.7888075857129598,-1.2265516727955572,-1.052179926427139
5.2,3.5,1.5,0.2,0,setosa,0,-0.8491675123167405,1.0190043519716065,-1.2833890997091604,-1.3154442950077407
5.2,3.4,1.4,0.2,0,setosa,0,-0.8491675123167405,0.7888075857129598,-1.3402265266227635,-1.3154442950077407
